country,genres,name,ratings,time
США,"Ужасы, Триллеры, Драмы, Детективы, Зарубежные",Вдовий маяк,IMDb: 3.1 (350) Кинопоиск: 4.03 (306),87 мин.
Камерун,"Драмы, Зарубежные",Дневник рыбака,IMDb: 7.0 (33),143 мин.
Россия,"Драмы, Наши",Я свободен,IMDb: 4.4 (11),90 мин.
Швеция,"Драмы, Детективы, Зарубежные",Девушка и гиацинты,IMDb: 7.6 (700),89 мин.
США,"Драмы, Вестерны, Зарубежные",Вопрос чести,IMDb: 7.2 (1 280) Кинопоиск: 7.13 (133),111 мин.
"Великобритания, США","Драмы, Зарубежные",Городской ковбой,IMDb: 6.1 (1 407),111 мин.
"Франция, Италия","Драмы, Боевики, Мелодрамы, Зарубежные",Вдова Кудер,IMDb: 6.9 (1 467) Кинопоиск: 7.50 (521),92 мин.
"Венесуэла, Мексика","Триллеры, Ужасы, Зарубежные",Инфекция,IMDb: 5.4 (379) Кинопоиск: 4.93 (512),100 мин.
"Чехия, Словакия","Драмы, Зарубежные",Тайности,IMDb: 6.7 (464) Кинопоиск: 6.49 (101),95 мин.
Нидерланды,"Мелодрамы, Комедии, Зарубежные",Просто скажи да,IMDb: 4.1 (344),97 мин.
Россия,"Драмы, Наши",Сентенция,IMDb: 6.1 (13) Кинопоиск: 6.30 (279),90 мин.
Испания,"Боевики, Триллеры, Драмы, Криминал, Приключения, Детективы, Зарубежные",Тайное происхождение,IMDb: 6.1 (5 423) Кинопоиск: 5.77 (522),100 мин.
США,"Фэнтези, Комедии, Зарубежные",Фея-крёстная,IMDb: 6.1 (9 592) Кинопоиск: 5.70 (684),110 мин.
Франция,"Драмы, Мелодрамы, Криминал, Биографические, Зарубежные",Мадам Клод,IMDb: 5.4 (688),112 мин.
Испания,"Драмы, Триллеры, Боевики, Криминал, Приключения, Зарубежные",Высотка,IMDb: 5.8 (880),121 мин.
"Япония, США","Драмы, Мелодрамы, Криминал, Зарубежные",Останься,IMDb: 6.3 (102),95 мин.
США,"Фантастика, Боевики, Драмы, Триллеры, Зарубежные",Годзилла против Конга,IMDb: 6.7 (61 196) Кинопоиск: 6.42 (18 319),113 мин.
"США, Канада","Фантастика, Приключения, Зарубежные",Поступь хаоса,IMDb: 5.7 (7 910) Кинопоиск: 5.98 (2 702),109 мин.
Великобритания,"Драмы, Зарубежные",Призрак,IMDb: 5.4 (237),88 мин.
Индия,"Боевики, Драмы, Биографические, Исторические, Зарубежные",Танаджи: Невоспетый воин,IMDb: 7.6 (21 529),135 мин.
"Гонконг, Китай","Боевики, Комедии, Криминал, Зарубежные",Выход жирного дракона,IMDb: 5.7 (1 392) Кинопоиск: 5.95 (539),96 мин.
США,"Драмы, Триллеры, Мелодрамы, Криминал, Зарубежные",Забавная мордашка / Лицо с улыбкой,IMDb: 5.8 (262),95 мин.
США,"Боевики, Криминал, Зарубежные",Заказанный убийца,IMDb: 4.1 (1 313) Кинопоиск: 5.35 (184),93 мин.
Италия,"Драмы, Зарубежные",Лучшие годы,IMDb: 6.2 (1 299) Кинопоиск: 6.61 (366),129 мин.
США,"Фэнтези, Вестерны, Зарубежные",Чистилище,IMDb: 6.9 (3 669) Кинопоиск: 7.01 (698),94 мин.
Великобритания,"Документальные, Зарубежные",Это не игра,IMDb: 5.9 (171),97 мин.
СССР,"Драмы, Наши","Сумка, полная сердец",,84 мин.
Индонезия,"Ужасы, Триллеры, Зарубежные",Королева чёрной магии,IMDb: 6.6 (1 207) Кинопоиск: 5.70 (394),99 мин.
